container_cpu%	host_moving_avg_cpu	name	memory%	host_cpu	net_send	sensor_count	memory_active_anon%	timestamp	memory_rss%	net_receive
3.62	nan	kafka-001	88.25	0	936011.209	2	30.52	2019-04-24T00:43:29.207512704Z	30.52	35376497.436
6.07	nan	kafka-001	88.26	3.62	50.76	5	30.52	2019-04-24T00:43:36.220242792Z	30.52	45.092
4.95	nan	kafka-001	88.25	6.07	54.823	9	30.52	2019-04-24T00:43:43.233394134Z	30.52	57.515
9.18	nan	kafka-001	88.26	4.95	89.77	13	30.52	2019-04-24T00:43:50.246667272Z	30.52	74.666
7.2	nan	kafka-001	88.26	9.18	72.692	16	30.52	2019-04-24T00:43:57.260104867Z	30.52	82.343
7.19	5.17	kafka-001	88.26	7.2	84.714	19	30.52	2019-04-24T00:44:04.272401692Z	30.52	98.599
11.12	6.37	kafka-001	88.26	7.19	138.46	22	30.52	2019-04-24T00:44:11.286341272Z	30.52	118.248
9.44	7.62	kafka-001	88.26	11.12	109.039	24	30.52	2019-04-24T00:44:18.301413991Z	30.52	125.239
12.54	8.18	kafka-001	88.26	9.44	167.378	27	30.52	2019-04-24T00:44:25.317019954Z	30.52	139.186
10.8	9.44	kafka-001	88.27	12.54	124.062	30	30.52	2019-04-24T00:44:32.328871543Z	30.52	146.117
11.7	9.72	kafka-001	88.27	10.8	130.056	32	30.52	2019-04-24T00:44:39.343869971Z	30.52	154.693
10.12	10.46	kafka-001	88.27	11.7	200.28	34	30.52	2019-04-24T00:44:46.352955477Z	30.52	164.024
12.17	10.95	kafka-001	88.27	10.12	146.795	36	30.52	2019-04-24T00:44:53.365764753Z	30.52	172.857
12.62	11.13	kafka-001	88.27	12.17	223.221	38	30.52	2019-04-24T00:45:00.379479341Z	30.52	186.938
13.03	11.66	kafka-001	88.28	12.62	161.973	40	30.52	2019-04-24T00:45:07.394919388Z	30.52	190.231
13.78	11.74	kafka-001	88.28	13.03	166.756	42	30.52	2019-04-24T00:45:14.407688501Z	30.52	196.906
13.45	12.24	kafka-001	88.28	13.78	253.851	44	30.52	2019-04-24T00:45:21.420125742Z	30.52	210.009
15.48	12.53	kafka-001	88.29	13.45	179.466	46	30.52	2019-04-24T00:45:28.441885556Z	30.52	212.129
17.99	13.42	kafka-001	88.29	15.48	273.234	48	30.52	2019-04-24T00:45:35.453632883Z	30.52	224.43
15.46	14.39	kafka-001	88.29	17.99	191.612	50	30.52	2019-04-24T00:45:42.469554714Z	30.52	230.237
17.97	14.86	kafka-001	88.29	15.46	199.468	51	30.52	2019-04-24T00:45:49.481600466Z	30.52	237.728
16.34	15.69	kafka-001	88.3	17.97	300.922	53	30.52	2019-04-24T00:45:56.493303683Z	30.52	248.689
16.65	16.11	kafka-001	88.3	16.34	207.434	55	30.52	2019-04-24T00:46:03.505692545Z	30.52	253.269
17.47	16.65	kafka-001	88.31	16.65	316.734	56	30.52	2019-04-24T00:46:10.520188041Z	30.52	258.508
16.95	16.98	kafka-001	88.31	17.47	219.086	58	30.52	2019-04-24T00:46:17.533286438Z	30.52	262.546
17.63	16.81	kafka-001	88.31	16.95	219.386	59	30.52	2019-04-24T00:46:24.546090587Z	30.52	269.324
18.57	17.17	kafka-001	88.31	17.63	339.922	61	30.52	2019-04-24T00:46:31.560020036Z	30.52	279.172
18.53	17.27	kafka-001	88.32	18.57	234.322	63	30.52	2019-04-24T00:46:38.575480987Z	30.52	286.445
22.6	17.63	kafka-001	88.32	18.53	356.652	64	30.52	2019-04-24T00:46:45.59019299Z	30.52	297.51
19.53	18.62	kafka-001	88.32	22.6	245.302	66	30.52	2019-04-24T00:46:52.602278733Z	30.52	300.787
20.36	18.97	kafka-001	88.33	19.53	251.06	67	30.52	2019-04-24T00:46:59.612781763Z	30.52	305.147
19.89	19.54	kafka-001	88.33	20.36	379.72	68	30.52	2019-04-24T00:47:06.624017947Z	30.52	313.616
19.98	19.91	kafka-001	88.34	19.89	260.912	70	30.52	2019-04-24T00:47:13.636421972Z	30.52	316.525
25.36	20.15	kafka-001	88.34	19.98	394.328	71	30.52	2019-04-24T00:47:20.648730961Z	30.52	323.364
21.42	21.29	kafka-001	88.35	25.36	267.264	73	30.52	2019-04-24T00:47:27.670994477Z	30.52	327.791
22.38	21.09	kafka-001	88.35	21.42	274.062	74	30.52	2019-04-24T00:47:34.684477114Z	30.52	339.129
22.43	21.56	kafka-001	88.36	22.38	418.618	76	30.52	2019-04-24T00:47:41.699865648Z	30.52	350.77
18.28	21.91	kafka-001	88.36	22.43	280.972	77	30.52	2019-04-24T00:47:48.71171621Z	30.52	346.695
25.79	21.64	kafka-001	88.36	18.28	429.896	78	30.52	2019-04-24T00:47:55.727586022Z	30.52	360.069
23.18	22.61	kafka-001	88.37	25.79	292.962	80	30.52	2019-04-24T00:48:02.740718205Z	30.52	360.445
32.0	22.25	kafka-001	88.37	23.18	295.832	81	30.52	2019-04-24T00:48:09.756610157Z	30.52	366.768
20.88	24.01	kafka-001	88.38	32.0	448.478	83	30.52	2019-04-24T00:48:16.768341413Z	30.52	377.364
23.83	23.76	kafka-001	88.39	20.88	303.222	84	30.52	2019-04-24T00:48:23.784125794Z	30.52	376.143
24.66	23.99	kafka-001	88.39	23.83	465.238	85	30.52	2019-04-24T00:48:30.797439799Z	30.52	386.004
25.57	25.06	kafka-001	88.39	24.66	315.087	86	30.52	2019-04-24T00:48:37.812528799Z	30.52	384.947
24.55	25.02	kafka-001	88.4	25.57	317.21	88	30.52	2019-04-24T00:48:44.824901589Z	30.52	389.083
29.69	25.25	kafka-001	88.41	24.55	486.51	89	30.52	2019-04-24T00:48:51.837364569Z	30.52	403.828
26.95	24.86	kafka-001	88.41	29.69	327.868	90	30.52	2019-04-24T00:48:58.851346466Z	30.52	403.299
29.23	25.87	kafka-001	88.42	26.95	497.018	91	30.52	2019-04-24T00:49:05.864800578Z	30.52	411.236
24.47	26.77	kafka-001	88.42	29.23	335.82	93	30.52	2019-04-24T00:49:12.892924305Z	30.52	409.483
30.73	26.74	kafka-001	88.43	24.47	340.155	94	30.52	2019-04-24T00:49:19.914287288Z	30.52	414.902
23.7	27.6	kafka-001	88.44	30.73	513.486	95	30.52	2019-04-24T00:49:26.939685582Z	30.52	420.889
27.24	27.46	kafka-001	88.44	23.7	347.072	96	30.52	2019-04-24T00:49:33.953572033Z	30.52	421.583
30.76	27.05	kafka-001	88.44	27.24	521.358	97	30.52	2019-04-24T00:49:40.968783269Z	30.52	437.636
27.67	27.69	kafka-001	88.45	30.76	356.136	98	30.52	2019-04-24T00:49:47.982612896Z	30.52	435.745
26.81	27.43	kafka-001	88.46	27.67	357.016	100	30.52	2019-04-24T00:49:54.995920391Z	30.52	432.539
29.19	27.82	kafka-001	88.46	26.81	541.272	101	30.52	2019-04-24T00:50:02.00847782Z	30.52	450.418
26.77	27.56	kafka-001	88.47	29.19	367.02	102	30.52	2019-04-24T00:50:09.020518968Z	30.52	447.115
38.5	28.07	kafka-001	88.47	26.77	549.133	103	30.52	2019-04-24T00:50:16.03556375Z	30.52	449.994
26.59	29.95	kafka-001	88.48	38.5	373.952	104	30.52	2019-04-24T00:50:23.050639162Z	30.52	458.625
28.3	29.25	kafka-001	88.49	26.59	564.632	105	30.52	2019-04-24T00:50:30.065132295Z	30.52	467.118
40.94	29.36	kafka-001	88.49	28.3	379.076	106	30.52	2019-04-24T00:50:37.079095133Z	30.52	465.919
35.49	31.71	kafka-001	88.5	40.94	385.362	107	30.52	2019-04-24T00:50:44.095229428Z	30.52	473.651
28.74	32.76	kafka-001	88.5	35.49	583.296	108	30.52	2019-04-24T00:50:51.115472078Z	30.52	484.981
